Timestamp,Topic,Payload
2023-11-14T21:03:10.991198,avr/vio/confidence,"{""tracker"": 65}"
2023-11-14T21:03:10.992290,avr/fusion/attitude/heading,"{""heading"": 359.55462430227266}"
2023-11-14T21:03:10.993200,avr/fusion/velocity/ned,"{""Vn"": 0.5491322773540841, ""Ve"": 0.6368600538578527, ""Vd"": 0.04768371582031251}"
2023-11-14T21:03:10.994197,avr/fcm/location/local,"{""dX"": -0.000340361351845786, ""dY"": -0.0004075244360137731, ""dZ"": -6.94423246383667}"
2023-11-14T21:03:10.994197,avr/fcm/location/global,"{""lat"": 32.8085489, ""lon"": -97.15634419999999, ""alt"": 0.0, ""hdg"": 0.18791808187961578}"
2023-11-14T21:03:10.995196,avr/fcm/location/global_full,"{""lat"": 32.8085489, ""lon"": -97.15634419999999, ""rel_alt"": 0.0, ""abs_alt"": 168.97000122070312}"
2023-11-14T21:03:10.995196,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2023-11-14T21:03:11.019408,avr/fcm/location/local,"{""dX"": -0.0003289544547442347, ""dY"": -0.00039866066072136164, ""dZ"": -6.944234371185303}"
2023-11-14T21:03:11.020197,avr/fcm/location/global,"{""lat"": 32.8085489, ""lon"": -97.15634419999999, ""alt"": 0.0, ""hdg"": 0.18620042502880096}"
2023-11-14T21:03:11.022226,avr/fcm/location/global_full,"{""lat"": 32.8085489, ""lon"": -97.15634419999999, ""rel_alt"": 0.0, ""abs_alt"": 168.97000122070312}"
2023-11-14T21:03:11.022226,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2023-11-14T21:03:11.023196,avr/fusion/groundspeed,"{""groundspeed"": 0.8409143750893486}"
2023-11-14T21:03:11.023196,avr/fusion/climbrate,"{""climb_rate_fps"": -9.386539459228517}"
2023-11-14T21:03:11.024197,avr/fcm/location/global,"{""lat"": 32.8085489, ""lon"": -97.15634419999999, ""alt"": 0.0, ""hdg"": 0.1849895864725113}"
2023-11-14T21:03:11.025355,avr/fcm/location/global_full,"{""lat"": 32.8085489, ""lon"": -97.15634419999999, ""rel_alt"": 0.0, ""abs_alt"": 168.97000122070312}"
2023-11-14T21:03:11.068515,avr/fusion/hil_gps,"{""time_usec"": 1699400708007855, ""fix_type"": 3, ""lat"": 328085490, ""lon"": -971563442, ""alt"": 168970, ""eph"": 20, ""epv"": 5, ""vel"": 0, ""vn"": 0, ""ve"": 0, ""vd"": 0, ""cog"": 35900, ""satellites_visible"": 13, ""heading"": 35955}"
2023-11-14T21:03:11.069560,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2023-11-14T21:03:11.070725,avr/fcm/location/local,"{""dX"": -0.00032063532853499055, ""dY"": -0.0003906341444235295, ""dZ"": -6.9442338943481445}"
2023-11-14T21:03:11.072483,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2023-11-14T21:03:11.072483,avr/fcm/location/global,"{""lat"": 32.8085489, ""lon"": -97.15634419999999, ""alt"": 0.0, ""hdg"": 0.18432298302650452}"
2023-11-14T21:03:11.073482,avr/fcm/location/global_full,"{""lat"": 32.8085489, ""lon"": -97.15634419999999, ""rel_alt"": 0.0, ""abs_alt"": 168.97000122070312}"
2023-11-14T21:03:11.073812,avr/fcm/gps_info,"{""num_satellites"": 13, ""fix_type"": ""FIX_3D""}"
2023-11-14T21:03:11.074482,avr/fcm/attitude/euler,"{""roll"": 0.22169359028339386, ""pitch"": 1.535538911819458, ""yaw"": 0.18296702206134796}"
2023-11-14T21:03:11.075755,avr/fcm/location/global,"{""lat"": 32.8085489, ""lon"": -97.15634419999999, ""alt"": 0.0, ""hdg"": 0.18296702206134796}"
2023-11-14T21:03:11.075755,avr/fcm/location/global_full,"{""lat"": 32.8085489, ""lon"": -97.15634419999999, ""rel_alt"": 0.0, ""abs_alt"": 168.97000122070312}"
2023-11-14T21:03:11.076482,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2023-11-14T21:03:11.077068,avr/fcm/location/local,"{""dX"": -0.00030757763306610286, ""dY"": -0.0003830396744888276, ""dZ"": -6.944228172302246}"
2023-11-14T21:03:11.116056,avr/fcm/location/global,"{""lat"": 32.8085489, ""lon"": -97.15634419999999, ""alt"": 0.0, ""hdg"": 0.18232795596122742}"
